transcript_id	gene_id	0	10	18	24	30	40	48	56	64	72
NM_001204313.1	AnkAT-1	0.00	76.03	104.75	154.315	121.50	119.14	95.35	123.76	35.98	12.82
XM_030983886.1	AnkAT-1	0.17	28.11	35.59	9.24	27.87	14.57	8.32	4.62	10.08	2.67
NM_001291301.1	BACE	39.96	62.59	16.92	4.595000000000001	4.32	6.51	8.26	6.64	14.25	10.42
XM_030977033.1	BACE	0.59	0.00	0.00	0.0	0.00	0.00	0.16	0.00	0.00	0.00
NM_214563.1	BMP1	0.00	0.00	0.00	0.285	0.00	0.00	0.00	0.00	0.00	0.00
XM_030979021.1	BMP1	8.26	53.62	256.82	81.435	68.69	51.39	40.75	35.58	43.80	42.62
XR_004062984.1	BMP1	1.11	6.53	12.51	4.15	6.76	5.49	2.21	2.20	5.61	3.19
NM_001123505.1	BMP2/4	0.66	2.62	8.15	24.45	11.88	17.75	15.44	14.97	9.22	11.09
XM_011676884.2	BMP2/4	0.00	0.71	22.72	13.295	18.84	9.00	15.66	10.87	27.65	22.88
XM_011676885.2	BMP2/4	0.00	4.20	14.08	3.64	11.74	5.48	0.83	1.62	0.83	2.15
XM_030998272.1	BMP2/4	0.00	0.44	0.44	0.26	0.00	0.00	0.00	0.00	0.00	0.00
XM_030998273.1	BMP2/4	0.00	0.02	13.51	0.0	0.00	0.00	0.00	0.00	6.60	0.00
NM_214518.1	BND	0.41	0.15	0.10	0.095	0.14	0.34	1.09	0.85	0.64	2.02
NM_214520.1	CBF-A	116.12	268.03	42.90	36.335	46.90	46.54	34.35	27.50	39.86	29.20
XM_030999858.1	CBF-A	23.01	111.70	19.41	8.350000000000001	24.19	12.50	7.98	6.41	18.57	14.04
NM_214471.2	CGSP1	17.22	32.70	2.30	0.0	0.27	0.11	0.04	0.00	0.00	0.06
NM_001110245.1	CHRD	3.64	0.66	129.33	113.80000000000001	154.20	88.89	27.83	42.62	20.14	18.95
NM_214509.1	COLP1alpha	4.28	0.11	0.08	1.48	10.48	681.41	1037.03	599.29	753.00	616.04
XM_011676484.2	COLP1alpha	1.68	0.00	0.05	0.535	0.84	79.61	76.74	48.36	48.95	32.87
XM_030999851.1	COLP1alpha	0.00	0.11	0.00	0.0	0.00	0.00	0.00	0.00	0.00	0.00
XM_030999852.1	COLP1alpha	0.00	0.00	0.00	0.0	0.00	0.19	0.19	0.00	0.00	0.00
XM_030999853.1	COLP1alpha	0.00	0.00	0.00	0.045	0.74	22.02	30.46	11.98	85.64	45.52
