Num.reads ,R1 ,R2 ,Paired ,MateMapped ,Singletons ,MateMappedDiffChr,Paired/Num.reads,Coverage,Total reads,Mapped/Tot
28235836,14118419,14117417,23297022,27364108,301868,3406872,0.825087028,5.1493,35495922,0.79546704
41911249,20956794,20954455,32983143,40303327,609562,6092554,0.786975902,7.18572,51433238,0.814867013
34345451,17173376,17172075,27140699,32962145,543943,4852402,0.790226892,5.96949,41398156,0.829637219
26968189,13484137,13484052,22397485,26184213,284843,3134750,0.830514982,4.99193,33002072,0.81716654
35502415,17750813,17751602,29501716,34493759,365204,4159232,0.830977724,6.31863,43088366,0.823944333
29770708,14885904,14884804,24572283,28844890,343926,3557310,0.825384569,5.38802,36257454,0.821092071
23703638,11852379,11851259,19710129,23017630,250828,2754512,0.831523372,4.4902,29149174,0.813183866
31272891,15636818,15636073,25604227,30262525,372630,3883800,0.81873553,5.60674,38539614,0.811447956
31867404,15934082,15933322,26088051,30791406,371684,3933210,0.818643746,5.71028,39689734,0.802913015
38407636,19204770,19202866,29742322,36653218,704880,5756642,0.774385646,6.62977,46569828,0.824732185
37568457,18785230,18783227,29200054,35843823,697286,5515730,0.777249223,6.5148,45940044,0.817771463
32852372,16426696,16425676,27015071,31805694,378622,3946080,0.822317214,5.94892,40466894,0.811833298
28609722,14305448,14304274,22536667,27502886,419175,4132630,0.787727577,5.15097,35181400,0.813205899
44598543,22300069,22298474,35111543,42777571,702077,6372190,0.787280046,7.6492,54839756,0.813252032
39989926,19995600,19994326,31642277,38374490,590324,5591582,0.791256203,6.92651,48697190,0.821195761
38356429,19179013,19177416,30201257,36846215,581607,5550942,0.787384483,6.69181,47807352,0.802312351
40315374,20158609,20156765,31714574,38667508,623485,5778420,0.786662031,6.96782,49695202,0.811252845
40159824,20080726,20079098,31753501,38489042,599676,5607598,0.790678291,6.95416,48967202,0.820137201
37269498,18635681,18633817,28559549,35517202,719414,5845672,0.766298194,6.42778,45518412,0.81877852
43103248,21552417,21550831,33406691,41224988,764826,6571336,0.775038832,7.33918,52584162,0.819700198
40871034,20436417,20434617,31411586,38928138,797167,6329420,0.768553739,6.97645,50236800,0.813567624
48357951,24179935,24178016,36688683,45924141,997056,7774000,0.758689776,8.12344,59698760,0.810032754
31689066,15845228,15843838,24184522,29919188,599571,4813042,0.763181913,5.51653,38468160,0.823773895
48427815,24214680,24213135,38348368,46545625,692396,6814432,0.791866575,8.27185,59388330,0.815443287
37559242,18780270,18778972,29327739,35997368,613869,5571250,0.78083948,6.50908,46111754,0.814526422
41477921,20739450,20738471,32697752,39852249,630418,5966428,0.788317042,7.1446,51226224,0.809700926
34414253,17207738,17206515,27125446,33097797,516227,4976234,0.788203829,6.04811,42010794,0.819176448
40480427,20241163,20239264,31352230,38657769,734822,6126492,0.774503441,6.94355,49724692,0.814091056
35723191,17861985,17861206,29071547,34553797,433937,4561574,0.813800396,6.31238,43649102,0.818417547
39093911,19547782,19546129,30429844,37397705,685898,5851752,0.778378096,6.75068,47771430,0.818353376
43701838,21851263,21850575,34179907,41902598,709546,6452700,0.782116006,7.46761,53094080,0.823101898
41541578,20771483,20770095,32248856,39797708,688401,6379068,0.776303105,7.14494,53413044,0.777742193
37245377,18623745,18621632,29009772,35676351,631782,5563638,0.778882491,6.4553,45650100,0.81588818
41057716,20529725,20527991,31994579,39423546,656956,6223094,0.779258617,7.07468,50461968,0.813636836
39723938,19862751,19861187,31425169,38196228,561818,5661036,0.791088965,6.88964,49929630,0.795598485
31648154,15824560,15823594,25299894,30476726,455281,4333868,0.799411365,5.64314,38903110,0.813512185
30353004,15176902,15176102,24502297,29314066,389116,3980678,0.807244548,5.45564,37387254,0.811854329
36962102,18481932,18480170,29562470,35620226,513022,5049416,0.799804892,6.49153,45725928,0.808340117
37646608,18824449,18822159,29541258,36110646,615405,5476564,0.784699062,6.54805,45579372,0.825957146
38935981,19468660,19467321,30711724,37428199,589679,5560058,0.788774887,6.7588,47403404,0.821375212
36009665,18005195,18004470,28212253,34553707,576771,5301358,0.783463356,6.26803,43554582,0.826770993
46825844,23414170,23411674,36352672,44846830,792947,7075490,0.776337785,7.94255,57518648,0.814098482
32427706,16214525,16213181,26312165,31296486,425508,4113352,0.811410002,5.81908,39403866,0.822957473
32604636,16303096,16301540,25583031,31230748,543176,4711030,0.784643969,5.73446,39533980,0.824724351
39347922,19675204,19672718,30295863,37582552,717073,6113938,0.769948233,6.76888,48883248,0.804936734
48648099,24324971,24323128,38582676,46853555,683547,6873402,0.793097301,8.33253,60125150,0.809113973
38893783,19447884,19445899,30107502,37134019,706393,5904336,0.77409549,6.714,47687486,0.815597262
39323339,19662764,19660575,29765918,37253975,835502,6301078,0.756952964,6.68735,47632578,0.825555547
43342775,21672201,21670574,34143391,41517787,704344,6134776,0.787752768,7.43552,52750808,0.821651395
45410370,22706651,22703719,34303632,42880578,1038223,7219038,0.755414061,7.60949,55367538,0.820162349
39217037,19608882,19608155,30283072,37440529,717554,5976760,0.772191739,6.73802,47155170,0.831659328
36581492,18291572,18289920,27647048,34349860,703742,5637020,0.755766003,6.22246,44345532,0.824919453
41747952,20874663,20873289,32448641,39645042,693563,6023162,0.777251085,7.1054,51310316,0.813636618
30031426,15016257,15015169,24625505,29032630,360970,3652258,0.819991199,5.42148,36398754,0.825067419
35657869,17829886,17827983,28052160,34048497,517879,4977412,0.78670321,6.22177,43582120,0.81817656
46572543,23286930,23285613,36564263,44403647,738462,6565152,0.785103425,7.9025,55923716,0.832786988
38881039,19441533,19439506,30960724,37384663,568696,5353528,0.796293638,6.77013,48001890,0.809989752
40927032,20463462,20463570,32518218,39359154,603871,5681330,0.794541319,7.06547,50274332,0.814074108
44865427,22433281,22432146,33172179,40112911,609888,5749760,0.739370629,7.18629,54139470,0.82870089
37687895,18844760,18843135,30026939,36289997,538360,5209672,0.796726349,6.59964,46059894,0.818236685
26405059,13203246,13201813,21097035,25431289,371456,3607034,0.798977007,4.84241,32514098,0.812111073
35115160,17558271,17556889,29148800,34079246,374156,4045874,0.830091619,6.30164,43149714,0.81379821
25428405,12714684,12713721,21122542,24714227,258051,2997002,0.830667201,4.74574,30985108,0.820665366
32070501,16035647,16034854,25724168,30917623,436052,4345724,0.80211307,5.70997,39437844,0.81319103
36484432,18242969,18241463,29111761,35114238,531651,5038858,0.797922824,6.3507,44286080,0.82383521
